"pokemon","move","status"
"Starmie","Quick Attack","Nao confirmado no Game Master consultado; mantido sem adicionar"
"Azumarill","Body Slam","Nao confirmado no Game Master consultado; mantido sem adicionar"
"Quagsire","Acid","Nao confirmado no Game Master consultado; mantido sem adicionar"
"Granbull","Quick Attack","Nao confirmado no Game Master consultado; mantido sem adicionar"
"Heracross","Rock Tomb","Ataque acrescentado ao catalogo"
"Smeargle","Lock On","Nao confirmado no Game Master consultado; mantido sem adicionar"
"Ninjask","Bug Bite","Nao confirmado no Game Master consultado; mantido sem adicionar"
"Aggron","Meteor Mash","Nao confirmado no Game Master consultado; mantido sem adicionar"
"Rayquaza","Dragon Ascent","Ataque acrescentado ao catalogo"
"Dialga","Roar Of Time","Corrigido na forma especifica; nao disponivel na forma base"
"Palkia","Spacial Rend","Corrigido na forma especifica; nao disponivel na forma base"
"Stoutland","Psychic Fangs","Nao confirmado no Game Master consultado; mantido sem adicionar"
"Musharna","Psychic","Nao confirmado no Game Master consultado; mantido sem adicionar"
"Cinderace","Blast Burn","Ataque acrescentado ao catalogo"
"Solgaleo","Sunsteel Strike","Fonte oficial atribui o ataque a fusao de Necrozma; nao acrescentado a esta especie"
"Lunala","Moongeist Beam","Fonte oficial atribui o ataque a fusao de Necrozma; nao acrescentado a esta especie"
"Nihilego","Meteor Beam","Nao confirmado no Game Master consultado; mantido sem adicionar"
"Necrozma","Moongeist Beam","Corrigido na forma especifica; nao disponivel na forma base"
"Necrozma","Sunsteel Strike","Corrigido na forma especifica; nao disponivel na forma base"
"Zacian","Behemoth Blade","Corrigido na forma especifica; nao disponivel na forma base"
"Zamazenta","Behemoth Bash","Corrigido na forma especifica; nao disponivel na forma base"
"Zarude","Magical Leaf","Nao confirmado no Game Master consultado; mantido sem adicionar"
"Overqwil","Shadow Claw","Nao confirmado no Game Master consultado; mantido sem adicionar"
"Baxcalibur","Breaking Swipe","Nao confirmado no Game Master consultado; mantido sem adicionar"
